K,diffusion steps,Attention,Guidance,MC Simulation,Result
10,8,1,0,10,0.293
10,8,1,0,100,0.431
10,8,1,0,1000,0.467
10,8,1,0.5,10,0.335
10,8,1,0.5,100,0.52
10,8,1,0.5,1000,0.501
10,8,1,4.5,10,0.276
10,8,1,4.5,100,0.442
10,8,1,4.5,1000,0.467
10,8,21,0,10,0.306
10,8,21,0,100,0.491
10,8,21,0,1000,0.485
10,8,21,0.5,10,0.274
10,8,21,0.5,100,0.487
10,8,21,0.5,1000,0.536
10,8,21,4.5,10,0.397
10,8,21,4.5,100,0.471
10,8,21,4.5,1000,0.48
10,10,1,0,10,0.162
10,10,1,0,100,0.381
10,10,1,0,1000,0.408
10,10,1,0.5,10,0.241
10,10,1,0.5,100,0.42
10,10,1,0.5,1000,0.438
10,10,1,4.5,10,0.124
10,10,1,4.5,100,0.32
10,10,1,4.5,1000,0.368
10,10,21,0,10,0.222
10,10,21,0,100,0.353
10,10,21,0,1000,0.33
10,10,21,0.5,10,0.176
10,10,21,0.5,100,0.315
10,10,21,0.5,1000,0.305
10,10,21,4.5,10,0.16
10,10,21,4.5,100,0.19
10,10,21,4.5,1000,0.22
15,8,1,0,10,0.329
15,8,1,0,100,0.703
15,8,1,0,1000,0.726
15,8,1,0.5,10,0.473
15,8,1,0.5,100,0.687
15,8,1,0.5,1000,0.73
15,8,1,4.5,10,0.358
15,8,1,4.5,100,0.579
15,8,1,4.5,1000,0.614
15,8,21,0,10,0.541
15,8,21,0,100,0.785
15,8,21,0,1000,0.846
15,8,21,0.5,10,0.68
15,8,21,0.5,100,0.847
15,8,21,0.5,1000,0.891
15,8,21,4.5,10,0.757
15,8,21,4.5,100,0.894
15,8,21,4.5,1000,0.922
15,10,1,0,10,0.438
15,10,1,0,100,0.712
15,10,1,0,1000,0.72
15,10,1,0.5,10,0.439
15,10,1,0.5,100,0.68
15,10,1,0.5,1000,0.719
15,10,1,4.5,10,0.469
15,10,1,4.5,100,0.56
15,10,1,4.5,1000,0.59
15,10,21,0,10,0.551
15,10,21,0,100,0.627
15,10,21,0,1000,0.702
15,10,21,0.5,10,0.344
15,10,21,0.5,100,0.732
15,10,21,0.5,1000,0.747
15,10,21,4.5,10,0.373
15,10,21,4.5,100,0.554
15,10,21,4.5,1000,0.619
15,15,1,0,10,0.331
15,15,1,0,100,0.708
15,15,1,0,1000,0.771
15,15,1,0.5,10,0.358
15,15,1,0.5,100,0.721
15,15,1,0.5,1000,0.779
15,15,1,4.5,10,0.565
15,15,1,4.5,100,0.735
15,15,1,4.5,1000,0.737
15,15,21,0,10,0.336
15,15,21,0,100,0.594
15,15,21,0,1000,0.718
15,15,21,0.5,10,0.386
15,15,21,0.5,100,0.754
15,15,21,0.5,1000,0.799
15,15,21,4.5,10,0.376
15,15,21,4.5,100,0.553
15,15,21,4.5,1000,0.612
