+-------+---------------------+-------+
| Epoch |         bpd         |   lr  |
+-------+---------------------+-------+
|   1   |  0.6584153818112556 | 0.001 |
|   2   |  0.5658989117686153 | 0.001 |
|   3   |  0.5089326849987763 | 0.001 |
|   4   |  0.5212187291811003 | 0.001 |
|   5   |   0.50749780665869  | 0.001 |
|   6   |  0.5334965514414238 | 0.001 |
|   7   | 0.48971914002514183 | 0.001 |
|   8   |  0.5058925322168424 | 0.001 |
|   9   |  0.5220125643468326 | 0.001 |
|   10  |  0.5182183999626614 | 0.001 |
|   11  |  0.521329879823025  | 0.001 |
|   12  |  0.5257394709930898 | 0.001 |
|   13  |  0.5041679912475459 | 0.001 |
|   14  |  0.5031459622373152 | 0.001 |
|   15  |  0.4673161962562968 | 0.001 |
|   16  | 0.45688924243208506 | 0.001 |
|   17  |  0.508872892913898  | 0.001 |
|   18  |  0.4878280006170024 | 0.001 |
|   19  |  0.5365209562028588 | 0.001 |
|   20  |  0.5015701200022842 | 0.001 |
|   21  |  0.5155658934931022 | 0.001 |
|   22  | 0.49019980187700085 | 0.001 |
|   23  |  0.4984508026605365 | 0.001 |
|   24  |  0.5119675379188083 | 0.001 |
|   25  |  0.5219457345696452 | 0.001 |
|   26  |  0.5086088699046347 | 0.001 |
|   27  |  0.4844823765841896 | 0.001 |
|   28  |  0.4631696268059741 | 0.001 |
|   29  |  0.4788772689885107 | 0.001 |
|   30  |  0.4620609365349155 | 0.001 |
|   31  |  0.5090458316800487 | 0.001 |
|   32  | 0.46423414499034704 | 0.001 |
|   33  | 0.49450848437651074 | 0.001 |
|   34  | 0.49020625680467056 | 0.001 |
|   35  |  0.5181791605807397 | 0.001 |
|   36  | 0.49512327819782365 | 0.001 |
|   37  |  0.5286287950933789 | 0.001 |
|   38  |  0.5012924628820788 | 0.001 |
|   39  |  0.5001161859576106 | 0.001 |
|   40  |  0.5063440279028881 | 0.001 |
|   41  |  0.5234782780163465 | 0.001 |
|   42  |  0.5301497800659112 | 0.001 |
|   43  |  0.4792789628139484 | 0.001 |
|   44  |  0.5032978234433082 | 0.001 |
|   45  | 0.49561805243028745 | 0.001 |
