source,target
0,4
1,4
2,4
3,4
4,5
6,10
7,10
8,10
9,10
10,11
12,16
13,16
14,16
15,16
16,17
18,22
19,22
20,22
21,22
22,23
24,28
25,28
26,28
27,28
28,29
30,34
31,34
32,34
33,34
34,35
36,40
37,40
38,40
39,40
40,41
42,46
43,46
44,46
45,46
46,47
48,52
49,52
50,52
51,52
52,53
54,58
55,58
56,58
57,58
58,59
60,64
61,64
62,64
63,64
64,65
66,70
67,70
68,70
69,70
70,71
72,76
73,76
74,76
75,76
76,77
78,82
79,82
80,82
81,82
82,83
84,88
85,88
86,88
87,88
88,89
90,94
91,94
92,94
93,94
94,95
96,100
97,100
98,100
99,100
100,101
102,106
103,106
104,106
105,106
106,107
108,112
109,112
110,112
111,112
112,113
114,118
115,118
116,118
117,118
118,119
21,36
40,27
9,74
115,100
3,55
54,94
130,97
84,139
133,68
121,48
127,125
128,90
125,18
127,15
79,124
129,128
128,108
19,137
99,136
132,69
123,66
75,136
139,117
120,113
115,126
132,23
26,133
18,129
6,139
28,124
74,121
125,139
128,37
92,136
76,127
138,133
137,3
120,51
66,135
6,123
29,125
130,28
35,138
127,38
114,138
104,137
132,98
130,46
80,124
125,59
53,137
131,1
122,117
137,115
138,80
137,60
121,128
24,122
103,122
120,53
124,90
131,74
13,131
38,130
65,138
52,138
7,133
95,136
134,119
125,116
89,129
125,6
127,122
116,131
75,124
138,18
126,80
131,76
138,27
38,123
136,130
15,139
135,55
16,138
54,131
111,128
91,125
127,124
110,138
83,121
139,89
123,47
132,114
32,121
124,21
101,126
79,135
124,112
62,128
136,22
125,56
122,32
55,131
120,14
54,133
138,50
3,124
127,126
134,77
121,116
85,129
132,61
41,135
130,82
124,96
126,38
127,92
122,16
127,101
120,62
20,124
125,58
129,40
139,130
138,43
119,136
12,129
134,79
69,126
83,134
138,134
32,125
33,124
51,138
124,34
123,133
88,133
81,136
136,17
39,130
131,94
120,73
29,138
121,47
123,44
94,127
94,136
124,27
139,5
126,88
98,136
128,52
1,130
99,135
122,11
139,61
120,57
54,121
120,121
109,130
121,95
37,123
133,5
58,130
130,116
32,120
133,96
122,68
120,59
110,121
122,86
120,4
86,121
138,104
129,55
136,42
124,22
16,123
18,120
120,107
114,121
90,136
123,23
129,39
51,139
120,134
21,131
97,132
132,44
50,121
124,70
130,56
36,131
128,31
135,134
139,31
124,24
134,26
127,139
101,129
131,139
134,53
109,127
123,89
129,105
59,135
139,42
128,51
129,16
122,129
57,128
121,76
121,21
130,33
124,47
