source,target
0,4
1,4
2,4
3,4
4,5
6,10
7,10
8,10
9,10
10,11
12,16
13,16
14,16
15,16
16,17
18,22
19,22
20,22
21,22
22,23
24,28
25,28
26,28
27,28
28,29
30,34
31,34
32,34
33,34
34,35
36,40
37,40
38,40
39,40
40,41
42,46
43,46
44,46
45,46
46,47
48,52
49,52
50,52
51,52
52,53
54,58
55,58
56,58
57,58
58,59
60,64
61,64
62,64
63,64
64,65
66,70
67,70
68,70
69,70
70,71
72,76
73,76
74,76
75,76
76,77
78,82
79,82
80,82
81,82
82,83
84,88
85,88
86,88
87,88
88,89
90,94
91,94
92,94
93,94
94,95
96,100
97,100
98,100
99,100
100,101
102,106
103,106
104,106
105,106
106,107
108,112
109,112
110,112
111,112
112,113
114,118
115,118
116,118
117,118
118,119
112,85
102,109
17,60
11,50
2,5
54,72
95,136
22,121
47,120
124,117
92,125
70,128
138,128
132,124
121,63
50,137
136,51
121,127
121,66
1,125
125,30
11,130
33,130
128,117
134,42
32,137
125,36
120,52
127,39
48,136
128,123
130,90
127,42
103,136
120,125
119,123
120,131
124,3
73,138
21,134
135,125
121,53
132,111
74,130
121,13
122,11
137,64
126,42
15,138
37,120
58,138
111,133
89,139
70,129
124,81
136,107
121,122
75,128
94,135
92,138
5,139
96,138
136,122
123,134
125,107
