source,target
0,4
1,4
2,4
3,4
4,5
6,10
7,10
8,10
9,10
10,11
12,16
13,16
14,16
15,16
16,17
18,22
19,22
20,22
21,22
22,23
24,28
25,28
26,28
27,28
28,29
30,34
31,34
32,34
33,34
34,35
36,40
37,40
38,40
39,40
40,41
42,46
43,46
44,46
45,46
46,47
48,52
49,52
50,52
51,52
52,53
54,58
55,58
56,58
57,58
58,59
60,64
61,64
62,64
63,64
64,65
66,70
67,70
68,70
69,70
70,71
72,76
73,76
74,76
75,76
76,77
78,82
79,82
80,82
81,82
82,83
84,88
85,88
86,88
87,88
88,89
90,94
91,94
92,94
93,94
94,95
96,100
97,100
98,100
99,100
100,101
102,106
103,106
104,106
105,106
106,107
108,112
109,112
110,112
111,112
112,113
114,118
115,118
116,118
117,118
118,119
120,124
121,124
122,124
123,124
124,125
126,130
127,130
128,130
129,130
130,131
132,136
133,136
134,136
135,136
136,137
138,142
139,142
140,142
141,142
142,143
144,148
145,148
146,148
147,148
148,149
150,154
151,154
152,154
153,154
154,155
156,160
157,160
158,160
159,160
160,161
162,166
163,166
164,166
165,166
166,167
168,172
169,172
170,172
171,172
172,173
174,178
175,178
176,178
177,178
178,179
180,184
181,184
182,184
183,184
184,185
186,190
187,190
188,190
189,190
190,191
192,196
193,196
194,196
195,196
196,197
198,202
199,202
200,202
201,202
202,203
204,208
205,208
206,208
207,208
208,209
210,214
211,214
212,214
213,214
214,215
216,220
217,220
218,220
219,220
220,221
222,226
223,226
224,226
225,226
226,227
228,232
229,232
230,232
231,232
232,233
234,238
235,238
236,238
237,238
238,239
25,16
81,53
70,87
52,42
182,173
84,135
55,36
132,198
26,54
0,188
47,179
9,26
357,395
256,74
350,365
399,159
416,328
411,133
248,344
246,420
438,343
429,285
252,234
290,337
295,303
178,294
371,271
391,20
18,412
273,284
325,322
363,187
408,338
374,187
317,336
275,92
428,423
334,416
143,421
247,268
364,249
379,405
280,301
401,182
34,416
323,253
329,422
341,167
175,382
287,196
366,62
360,418
435,430
345,384
273,288
342,406
292,387
112,429
75,389
51,342
41,405
431,334
95,385
310,273
235,279
339,318
334,258
336,429
410,378
362,338
291,296
334,276
102,280
306,168
387,4
288,407
63,307
374,330
368,247
342,127
388,94
393,438
198,360
311,377
208,401
245,32
368,121
418,387
304,374
274,184
331,62
327,348
254,373
317,411
337,389
316,366
349,125
324,297
411,365
426,363
254,238
20,309
215,246
165,434
284,382
160,346
217,310
321,22
350,345
426,313
394,253
426,84
437,233
294,413
392,91
301,80
415,65
246,382
276,392
424,159
359,277
25,261
254,233
270,348
265,242
420,265
280,151
277,216
313,148
277,234
94,387
374,432
374,23
413,280
385,32
351,305
302,403
358,164
266,337
366,424
389,426
309,155
184,420
411,211
295,345
292,358
347,303
381,277
379,353
439,404
245,273
305,413
324,26
274,434
372,350
49,343
266,350
276,382
298,382
431,417
330,362
433,436
360,375
230,284
89,397
267,13
188,296
388,321
63,372
111,421
243,64
284,102
439,143
256,12
313,403
213,325
438,434
434,293
158,245
314,65
319,180
71,362
359,100
261,342
252,284
344,367
334,192
373,174
434,279
390,105
371,101
325,372
251,423
337,108
69,266
83,439
297,319
303,213
331,302
423,394
339,144
377,9
322,348
346,278
383,196
274,289
375,368
224,306
278,426
305,398
334,434
348,350
74,394
392,304
244,140
291,337
90,356
225,410
308,426
369,256
414,17
359,81
112,371
35,258
290,139
329,58
282,373
414,291
44,352
188,375
429,172
337,345
418,428
287,335
438,266
282,238
370,360
288,178
297,385
47,380
324,100
260,353
316,272
325,339
298,65
409,427
336,366
363,231
128,337
298,321
276,321
359,188
95,407
208,284
322,315
142,357
405,331
270,286
245,369
367,313
426,399
332,355
333,189
269,433
64,302
438,211
418,162
401,91
285,288
258,271
282,390
381,85
94,419
422,123
281,245
410,130
7,280
304,396
366,389
154,308
287,352
103,253
224,412
273,426
139,435
57,393
434,389
363,347
376,375
413,186
407,353
249,343
352,426
354,118
190,275
247,1
274,345
76,262
54,351
428,412
323,377
276,73
24,337
78,335
100,341
241,69
247,149
84,271
159,274
287,194
271,106
390,295
290,357
300,249
120,291
425,2
436,429
249,432
78,303
132,283
400,183
373,247
402,381
288,405
122,256
399,3
322,394
203,284
352,254
359,159
344,170
307,359
386,5
369,361
376,257
428,276
103,247
325,31
352,375
273,240
181,404
302,285
436,374
261,293
3,245
317,292
74,296
404,22
286,295
385,417
248,201
439,156
328,41
218,416
268,264
190,363
351,335
343,331
392,354
299,126
234,253
178,263
181,399
62,308
342,353
408,51
263,69
276,426
37,251
245,429
106,332
363,439
436,261
153,318
398,396
268,277
375,260
340,391
436,99
406,247
348,413
278,336
322,370
54,299
248,420
381,28
239,362
344,137
295,370
292,383
372,83
396,202
234,387
274,432
275,397
434,332
413,376
8,318
279,394
356,259
286,33
320,413
271,319
284,338
243,300
310,399
301,189
366,318
155,391
370,279
367,390
116,399
134,295
314,216
400,176
278,308
312,310
336,240
259,331
384,173
248,163
277,199
434,430
289,173
286,275
350,278
264,247
316,56
207,378
34,316
256,252
100,261
433,330
100,288
199,410
319,326
337,362
306,365
369,403
331,309
424,119
264,368
435,119
310,344
78,385
397,120
309,147
13,423
287,397
165,371
108,264
411,432
341,206
362,0
41,341
88,291
278,433
373,423
356,352
386,213
259,276
425,70
262,43
12,435
310,339
282,268
427,268
323,287
48,366
214,398
276,230
281,159
327,275
301,412
194,438
242,335
390,93
433,302
273,322
56,324
427,389
194,276
272,223
241,217
299,60
277,310
115,257
310,316
349,335
401,373
205,407
331,137
421,287
269,171
297,1
65,432
279,203
387,303
240,293
213,276
379,317
116,361
356,333
239,413
325,364
0,415
354,409
131,242
26,287
403,283
369,379
298,337
279,333
324,255
282,11
323,439
242,213
239,278
72,439
63,318
391,412
112,350
385,359
398,289
406,302
376,387
250,409
327,27
291,181
62,367
432,40
318,302
86,324
333,290
338,423
391,398
279,355
282,262
413,166
168,249
278,368
409,321
262,131
34,273
395,404
271,356
275,79
259,400
