node_id,color,anomaly
0,blue,0
1,blue,0
2,blue,0
3,blue,0
4,orange,0
5,orange,0
6,blue,0
7,blue,1
8,blue,0
9,blue,0
10,orange,0
11,orange,0
12,blue,0
13,blue,0
14,blue,0
15,blue,0
16,orange,0
17,orange,0
18,blue,1
19,blue,0
20,blue,0
21,blue,0
22,orange,0
23,orange,0
24,blue,0
25,blue,0
26,blue,0
27,blue,0
28,orange,0
29,orange,0
30,blue,0
31,blue,0
32,blue,0
33,blue,0
34,orange,0
35,orange,0
36,blue,0
37,blue,0
38,blue,0
39,blue,0
40,orange,0
41,orange,0
42,blue,0
43,blue,1
44,blue,0
45,blue,0
46,orange,0
47,orange,0
48,blue,0
49,blue,0
50,blue,0
51,blue,1
52,orange,0
53,orange,0
54,blue,0
55,blue,0
56,blue,0
57,blue,0
58,orange,0
59,orange,0
60,blue,0
61,blue,0
62,blue,0
63,blue,0
64,orange,0
65,orange,0
66,blue,0
67,blue,0
68,blue,0
69,blue,0
70,orange,0
71,orange,0
72,blue,0
73,blue,0
74,blue,0
75,blue,0
76,orange,0
77,orange,0
78,blue,0
79,blue,0
80,blue,0
81,blue,0
82,orange,0
83,orange,0
84,blue,0
85,blue,0
86,blue,0
87,blue,0
88,orange,0
89,orange,0
90,blue,0
91,blue,0
92,blue,0
93,blue,0
94,orange,0
95,orange,0
96,blue,0
97,blue,0
98,blue,0
99,blue,0
100,orange,0
101,orange,0
102,blue,0
103,blue,0
104,blue,0
105,blue,0
106,orange,0
107,orange,0
108,blue,0
109,blue,0
110,blue,0
111,blue,0
112,orange,0
113,orange,0
114,blue,0
115,blue,0
116,blue,0
117,blue,0
118,orange,0
119,orange,0
120,blue,0
121,blue,0
122,blue,0
123,blue,1
124,orange,0
125,orange,0
126,blue,0
127,blue,0
128,blue,0
129,blue,0
130,orange,0
131,orange,0
132,blue,0
133,blue,0
134,blue,0
135,blue,0
136,orange,0
137,orange,0
138,blue,0
139,blue,0
140,blue,0
141,blue,0
142,orange,0
143,orange,1
144,blue,0
145,blue,0
146,blue,0
147,blue,0
148,orange,0
149,orange,0
150,blue,0
151,blue,0
152,blue,0
153,blue,0
154,orange,0
155,orange,0
156,blue,0
157,blue,0
158,blue,0
159,blue,0
160,orange,0
161,orange,0
162,blue,0
163,blue,0
164,blue,0
165,blue,0
166,orange,0
167,orange,0
168,blue,0
169,blue,0
170,blue,0
171,blue,0
172,orange,0
173,orange,0
174,blue,0
175,blue,0
176,blue,0
177,blue,0
178,orange,0
179,orange,0
180,blue,0
181,blue,0
182,blue,0
183,blue,0
184,orange,0
185,orange,0
186,blue,0
187,blue,0
188,blue,0
189,blue,0
190,orange,0
191,orange,0
192,blue,0
193,blue,0
194,blue,0
195,blue,0
196,orange,0
197,orange,0
198,blue,0
199,blue,0
200,blue,0
201,blue,0
202,orange,0
203,orange,0
204,blue,0
205,blue,0
206,blue,0
207,blue,0
208,orange,0
209,orange,0
210,blue,0
211,blue,0
212,blue,0
213,blue,0
214,orange,0
215,orange,0
216,blue,0
217,blue,0
218,blue,0
219,blue,0
220,orange,0
221,orange,0
222,blue,0
223,blue,0
224,blue,0
225,blue,0
226,orange,0
227,orange,0
228,blue,0
229,blue,0
230,blue,0
231,blue,0
232,orange,0
233,orange,0
234,blue,0
235,blue,0
236,blue,0
237,blue,0
238,orange,0
239,orange,0
240,blue,0
241,blue,0
242,blue,0
243,blue,0
244,orange,0
245,orange,0
246,blue,0
247,blue,0
248,blue,0
249,blue,0
250,orange,0
251,orange,0
252,blue,0
253,blue,0
254,blue,0
255,blue,0
256,orange,0
257,orange,0
258,blue,0
259,blue,0
260,blue,0
261,blue,0
262,orange,0
263,orange,0
264,blue,0
265,blue,0
266,blue,0
267,blue,0
268,orange,0
269,orange,0
270,blue,0
271,blue,0
272,blue,0
273,blue,0
274,orange,0
275,orange,0
276,blue,0
277,blue,0
278,blue,0
279,blue,0
280,orange,0
281,orange,0
282,blue,0
283,blue,0
284,blue,0
285,blue,0
286,orange,0
287,orange,0
288,blue,0
289,blue,0
290,blue,0
291,blue,0
292,orange,0
293,orange,0
294,blue,0
295,blue,0
296,blue,0
297,blue,0
298,orange,0
299,orange,0
300,blue,0
301,blue,0
302,blue,0
303,blue,0
304,orange,0
305,orange,0
306,blue,0
307,blue,0
308,blue,0
309,blue,0
310,orange,0
311,orange,0
312,blue,0
313,blue,0
314,blue,0
315,blue,0
316,orange,0
317,orange,0
318,blue,0
319,blue,0
320,blue,0
321,blue,0
322,orange,0
323,orange,0
324,blue,0
325,blue,0
326,blue,0
327,blue,0
328,orange,0
329,orange,0
330,blue,0
331,blue,1
332,blue,0
333,blue,0
334,orange,0
335,orange,0
336,blue,0
337,blue,0
338,blue,0
339,blue,0
340,orange,1
341,orange,0
342,blue,0
343,blue,0
344,blue,0
345,blue,0
346,orange,0
347,orange,0
348,blue,0
349,blue,0
350,blue,0
351,blue,0
352,orange,0
353,orange,0
354,blue,0
355,blue,0
356,blue,0
357,blue,0
358,orange,0
359,orange,0
360,blue,0
361,blue,0
362,blue,0
363,blue,0
364,orange,0
365,orange,0
366,blue,0
367,blue,0
368,blue,0
369,blue,0
370,orange,0
371,orange,0
372,blue,0
373,blue,0
374,blue,0
375,blue,0
376,orange,0
377,orange,0
378,blue,0
379,blue,0
380,blue,0
381,blue,0
382,orange,0
383,orange,0
384,blue,0
385,blue,0
386,blue,0
387,blue,0
388,orange,0
389,orange,0
390,blue,0
391,blue,0
392,blue,0
393,blue,0
394,orange,0
395,orange,0
396,blue,0
397,blue,0
398,blue,0
399,blue,0
400,orange,0
401,orange,0
402,blue,0
403,blue,0
404,blue,0
405,blue,0
406,orange,0
407,orange,0
408,blue,0
409,blue,0
410,blue,0
411,blue,0
412,orange,0
413,orange,0
414,blue,0
415,blue,0
416,blue,0
417,blue,0
418,orange,0
419,orange,0
420,blue,0
421,blue,0
422,blue,0
423,blue,0
424,orange,0
425,orange,0
426,blue,0
427,blue,0
428,blue,0
429,blue,0
430,orange,0
431,orange,0
432,blue,0
433,blue,0
434,blue,0
435,blue,0
436,orange,0
437,orange,0
438,blue,0
439,blue,0
440,blue,0
441,blue,0
442,orange,0
443,orange,0
444,blue,0
445,blue,0
446,blue,0
447,blue,0
448,orange,0
449,orange,0
450,blue,0
451,blue,0
452,blue,0
453,blue,0
454,orange,0
455,orange,1
456,blue,0
457,blue,0
458,blue,0
459,blue,0
460,orange,0
461,orange,0
462,blue,0
463,blue,0
464,blue,0
465,blue,0
466,orange,0
467,orange,0
468,blue,0
469,blue,0
470,blue,0
471,blue,0
472,orange,0
473,orange,0
474,blue,0
475,blue,0
476,blue,0
477,blue,0
478,orange,0
479,orange,0
480,blue,0
481,blue,0
482,blue,0
483,blue,0
484,orange,0
485,orange,0
486,blue,0
487,blue,0
488,blue,0
489,blue,0
490,orange,0
491,orange,0
492,blue,0
493,blue,0
494,blue,0
495,blue,0
496,orange,0
497,orange,0
498,blue,0
499,blue,0
500,blue,0
501,blue,0
502,orange,0
503,orange,0
504,blue,0
505,blue,0
506,blue,0
507,blue,0
508,orange,0
509,orange,1
510,blue,0
511,blue,0
512,blue,0
513,blue,0
514,orange,0
515,orange,0
516,blue,0
517,blue,0
518,blue,0
519,blue,0
520,orange,0
521,orange,0
522,blue,0
523,blue,0
524,blue,0
525,blue,0
526,orange,0
527,orange,0
528,blue,0
529,blue,0
530,blue,0
531,blue,0
532,orange,0
533,orange,0
534,blue,0
535,blue,0
536,blue,0
537,blue,0
538,orange,0
539,orange,0
540,blue,0
541,blue,0
542,blue,0
543,blue,1
544,orange,0
545,orange,0
546,blue,0
547,blue,0
548,blue,0
549,blue,0
550,orange,0
551,orange,0
552,blue,0
553,blue,0
554,blue,1
555,blue,0
556,orange,0
557,orange,0
558,blue,0
559,blue,0
560,blue,0
561,blue,0
562,orange,0
563,orange,0
564,blue,0
565,blue,0
566,blue,0
567,blue,0
568,orange,0
569,orange,0
570,blue,0
571,blue,0
572,blue,0
573,blue,0
574,orange,0
575,orange,0
576,blue,0
577,blue,0
578,blue,0
579,blue,0
580,orange,0
581,orange,0
582,blue,0
583,blue,0
584,blue,0
585,blue,0
586,orange,0
587,orange,0
588,blue,0
589,blue,0
590,blue,0
591,blue,0
592,orange,0
593,orange,0
594,blue,0
595,blue,0
596,blue,0
597,blue,0
598,orange,0
599,orange,0
600,blue,0
601,blue,0
602,blue,0
603,blue,0
604,orange,0
605,orange,0
606,blue,0
607,blue,0
608,blue,0
609,blue,0
610,orange,0
611,orange,0
612,blue,0
613,blue,0
614,blue,0
615,blue,0
616,orange,0
617,orange,0
618,blue,0
619,blue,0
620,blue,0
621,blue,1
622,orange,0
623,orange,0
624,blue,0
625,blue,0
626,blue,0
627,blue,0
628,orange,0
629,orange,0
630,blue,0
631,blue,0
632,blue,0
633,blue,0
634,orange,0
635,orange,0
636,blue,0
637,blue,0
638,blue,0
639,blue,0
640,orange,0
641,orange,0
642,blue,0
643,blue,0
644,blue,0
645,blue,0
646,orange,0
